bmi,calories,duration,sleep_hours,hr_mean,hr_max,goal_cutting,goal_bulking,goal_maintaining,fatigue
24.5,1237,0,8.8,65.77904328018224,80,0,0,1,28.778331435079725
24.5,2041,60,7.033333333333333,71.26422038813294,135,0,1,0,39.46494945634455
24.5,2187,56,7.866666666666666,72.8351946221403,161,0,1,0,34.49243484753579
24.5,1929,0,8.616666666666667,70.71195714122877,125,0,0,1,19.799347999544054
24.5,1935,33,6.233333333333333,69.23438047413289,104,0,1,0,36.532724410921126
24.5,2438,67,6.95,81.77557003257328,148,1,0,0,45.68375570830078
24.5,2035,0,9.65,75.25428871513596,129,0,0,1,20.417830271548514
24.5,2099,46,7.866666666666666,75.46544715447155,140,0,0,1,34.40702164410221
24.5,2096,27,6.583333333333333,75.66260120938813,182,0,0,1,24.868607928725016
24.5,2058,60,6.2,74.52076640660853,152,0,1,0,38.88902605359793
24.5,2338,47,1.1666666666666667,86.9734328358209,165,0,1,0,43.42201362966183
24.5,2104,8,6.333333333333333,75.92332093633779,157,0,0,1,21.60532614724627
24.5,2488,48,0.3,86.63271344040575,138,0,1,0,50.290369830670905
24.5,2164,15,10.016666666666667,80.26861063464837,160,0,0,1,22.497130567274937
24.5,2009,57,5.883333333333334,72.79177468772095,138,0,1,0,39.713786991491794
24.5,3338,32,7.15,78.86679333528208,135,0,0,1,31.989717228622737
24.5,2892,18,8.316666666666666,72.5046186895811,135,0,0,1,24.249648714466908
24.5,3313,0,6.45,79.61545776778767,127,0,0,1,23.878767888760382
24.5,3118,28,7.716666666666667,79.418065626966,116,0,0,1,33.50533214755124
24.5,3253,0,4.083333333333333,82.46707740824014,134,0,0,1,26.43574161160501
24.5,2817,12,1.2333333333333334,89.34215773911848,151,0,0,1,32.866266152272935
24.5,2507,0,7.1,73.8796904315197,139,0,0,1,19.72779974894381
24.5,1680,0,1.4333333333333333,75.78989503647038,118,0,0,1,30.688386945845735
24.5,1901,8,4.566666666666666,76.90659500290529,118,0,0,1,29.77982404727243
24.5,2142,63,5.616666666666666,77.5375141126963,136,1,0,0,45.24905807965474
24.5,1615,0,13.183333333333334,64.29336609336609,95,0,0,1,23.687029613345402
24.5,1481,0,12.366666666666667,62.16129785247432,91,0,0,1,23.908191481720895
24.5,1892,35,6.883333333333334,71.36065217391304,120,0,0,1,33.76546057437149
24.5,2086,66,5.666666666666667,71.23927083333334,133,1,0,0,44.348296658158425
24.5,2044,61,6.416666666666667,66.29759194920331,104,0,0,1,46.14188805427633
24.5,2249,90,5.633333333333334,72.8002828854314,130,1,0,0,55.548914241752314
24.5,2019,62,6.316666666666666,70.00785283993115,152,0,0,1,38.39638116912675
24.5,1692,0,10.316666666666666,68.3605817452357,129,0,0,1,18.547444659560078
24.5,1712,29,10.483333333333333,63.71069587628866,100,0,0,1,31.400643358360547
24.5,2065,59,7.133333333333334,71.00272835112693,130,0,0,1,40.49787074279597
24.5,633,18,5.766666666666667,63.05161023947151,104,0,0,1,28.968776196639972
24.5,3625,130,7.25,64.85091640590076,161,1,0,0,59.34422892866156
24.5,3427,85,6.483333333333333,63.05712545676005,169,1,0,0,42.992042879127766
24.5,3492,89,7.25,65.1407694942345,171,1,0,0,43.53924100228726
24.5,3597,125,6.5,65.38195777351248,176,1,0,0,56.707699458182454
24.5,3765,135,6.55,70.70434952978056,144,1,0,0,68.54737116447582
24.5,2775,42,7.566666666666666,60.57819849482596,124,0,0,1,30.694070411000954
24.5,2486,10,7.516666666666667,56.75114387391967,121,0,0,1,19.96123545919526
24.5,3378,115,6.866666666666666,62.602768166089966,154,1,0,0,54.3791193255747
24.5,1511,56,5.2,64.7615807380267,127,0,0,1,38.09411161209836
24.5,2210,0,9.3,78.7114721264048,129,0,0,1,21.355825770729982
24.5,2884,33,7.566666666666666,77.41143535799118,119,0,1,0,36.5860348193721
24.5,2445,0,1.0166666666666666,85.91385542168675,127,0,0,1,32.40621343642286
24.5,2694,0,8.716666666666667,84.81655387818844,128,0,0,1,23.19202645106715
24.5,1903,0,8.316666666666666,78.6332321970373,118,0,0,1,23.323416329629705
24.5,2617,0,7.25,87.20819217739452,124,0,0,1,25.552715533942
24.5,3065,75,0.16666666666666666,103.75542459148139,132,0,1,0,64.80180908629409
24.5,2207,0,7.15,87.10401647785788,121,0,0,1,26.25787666714897
24.5,3920,123,7.35,97.38444084278768,138,0,1,0,77.40033487201113
24.5,2244,95,6.966666666666667,74.98343143666885,124,0,1,0,58.23271396868796
24.5,2188,82,8.483333333333333,80.81915912719532,169,1,0,0,45.09859807891826
24.5,2014,54,8.783333333333333,75.6297581607201,162,0,1,0,34.10018950713026
24.5,2115,74,6.65,79.89123207978392,163,1,0,0,44.14114857592931
24.5,2055,65,8.95,75.52896694718868,137,0,1,0,41.391471550901855
24.5,2437,93,6.05,78.90618181818182,128,1,0,0,61.70518465283848
24.5,2158,55,5.966666666666667,81.97455573505654,166,0,0,1,38.86069545263597
24.5,2170,69,7.9,79.87116983711128,149,1,0,0,43.78794723581065
24.5,2244,61,7.05,84.83425935632665,170,1,0,0,40.01787361467461
24.5,2188,64,6.7,79.14661735914727,126,0,1,0,47.20696238392543
24.5,2231,52,7.233333333333333,87.77695880452343,151,0,0,1,40.41856447963131
24.5,2100,26,6.9,83.40446515660561,141,0,0,1,31.16279672452575
24.5,2188,59,6.55,81.04557845382183,158,0,1,0,40.39589500951791
24.5,917,52,6.1,88.03925157616433,176,1,0,0,34.59453324227441
24.5,2575,25,0.9333333333333333,85.87260181756984,157,0,0,1,36.28248683990894
24.5,3086,135,1.1666666666666667,92.20547709266276,158,1,0,0,83.20270755616465
24.5,2676,56,1.1,86.2032189600283,131,1,0,0,52.8186808480043
24.5,2840,94,1.05,87.80764867930644,134,1,0,0,68.79116979914745
24.5,2260,12,8.0,74.57181409295352,125,0,0,1,24.581576973597933
24.5,2667,8,7.983333333333333,78.61813333333333,128,0,0,1,24.18198059407151
24.5,2229,9,9.433333333333334,72.20423583285633,124,0,0,1,23.09276770031903
24.5,2100,11,6.4,70.7195910212716,124,0,0,1,25.15285126383552
24.5,2114,0,7.116666666666666,77.18566852532922,135,0,0,1,21.115265913974245
24.5,1961,0,7.433333333333334,77.59046283309958,163,0,0,1,17.368862162526494
24.5,1953,10,7.066666666666666,77.3088700282909,128,0,0,1,25.125463802760578
24.5,1890,0,10.016666666666667,73.24736569355674,142,0,0,1,18.05392816390483
